GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.service,AllocationService,171,3,6,0,35,1,13,1,10,1
demo,com.example.demo.service,StudentService,117,3,4,0,23,1,10,1,8,1
demo,com.example.demo.service,HostelService,108,3,2,0,23,1,9,1,8,1
demo,com.example.demo.service,RoomService,98,3,0,0,21,1,9,1,9,1
demo,com.example.demo.controller,StudentController,70,3,0,0,19,1,6,1,6,1
demo,com.example.demo.controller,AllocationController,127,3,4,0,31,1,11,1,9,1
demo,com.example.demo.controller,HomeController,2,3,0,0,1,1,1,1,1,1
demo,com.example.demo.controller,RoomController,72,3,0,0,18,1,7,1,7,1
demo,com.example.demo.controller,HostelController,66,3,0,0,17,1,6,1,6,1
demo,com.example.demo.entity,Allocation,71,3,0,0,30,2,17,1,17,1
demo,com.example.demo.entity,Student,94,3,0,0,39,2,21,1,21,1
demo,com.example.demo.entity,Hostel,95,7,0,0,35,3,20,1,20,1
demo,com.example.demo.entity,Room,95,7,2,0,31,4,18,1,17,1
demo,com.example.demo.config,CorsConfig,0,45,0,0,0,6,0,2,0,2
demo,com.example.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
